Date,Link,Day,Season,Team,Opp,Site,Final,Rest,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,"ot
Jan","07,",2015,recap,Wed,2014,Warriors,Pacers,home,117-102,1&1,-11.5,203.0,15,3.5,16.0,9.8,6.2,W,W,O,0
Jan","09,",2018,recap,Tue,2017,Mavericks,Magic,home,114-99,1&2,-7.5,213.5,15,7.5,-0.5,3.5,-4.0,W,W,U,0
Jan","10,",2018,recap,Wed,2017,Mavericks,Hornets,away,115-111,0&4,6.5,210.0,4,10.5,16.0,13.2,2.8,W,W,O,"0
Jan","10,",2018,recap,Wed,2017,Warriors,Clippers,home,106-125,1&1,-12.0,225.0,-19,-31.0,6.0,-12.5,18.5,L,L,O,0
Jan","13,",2018,recap,Sat,2017,Mavericks,Lakers,home,101-107,2&1,-4.5,214.5,-6,-10.5,-6.5,-8.5,2.0,L,L,U,1
Feb","05,",2018,recap,Mon,2017,Wizards,Pacers,away,111-102,1&1,-2.0,212.5,9,7.0,0.5,3.8,-3.2,W,W,O,0
Feb","06,",2018,recap,Tue,2017,Wizards,Seventysixers,away,102-115,0&2,6.5,213.5,-13,-6.5,3.5,-1.5,5.0,L,L,O,0
Feb","14,",2018,recap,Wed,2017,Raptors,Bulls,away,122-98,0&1,-7.0,219.0,24,17.0,1.0,9.0,-8.0,W,W,O,0
Feb","23,",2018,recap,Fri,2017,Raptors,Bucks,home,119-122,8&7,-7.0,216.0,-3,-10.0,25.0,7.5,17.5,L,L,O,1
Feb","27,",2018,recap,Tue,2017,Nuggets,Clippers,home,120-122,1&3,-3.5,233.0,-2,-5.5,9.0,1.8,7.2,L,L,O,0
Mar","07,",2018,recap,Wed,2017,Pelicans,Kings,away,114-101,0&2,-6.0,223.5,13,7.0,-8.5,-0.8,-7.8,W,W,U,0
Mar","09,",2018,recap,Fri,2017,Cavaliers,Clippers,away,102-116,1&2,-0.0,230.0,-14,-14.0,-12.0,-13.0,1.0,L,L,U,0
Mar","19,",2018,recap,Mon,2017,Bucks,Cavaliers,away,117-124,1&1,3.5,226.0,-7,-3.5,15.0,5.8,9.2,L,L,O,0
Mar","22,",2018,recap,Thu,2017,Seventysixers,Magic,away,118-98,0&1,-8.0,213.5,20,12.0,2.5,7.2,-4.8,W,W,O,0
Mar","24,",2018,recap,Sat,2017,Seventysixers,Timberwolves,home,120-108,1&0,-8.0,222.5,12,4.0,5.5,4.8,0.8,W,W,O,0
Mar","26,",2018,recap,Mon,2017,Seventysixers,Nuggets,home,123-104,1&2,-5.5,224.5,19,13.5,2.5,8.0,-5.5,W,W,O,0
Mar","28,",2018,recap,Wed,2017,Seventysixers,Knicks,home,118-101,1&1,-12.5,221.5,17,4.5,-2.5,1.0,-3.5,W,W,U,0
Mar","30,",2018,recap,Fri,2017,Seventysixers,Hawks,away,101-91,1&1,-8.0,218.0,10,2.0,-26.0,-12.0,-14.0,W,W,U,0
Apr","01,",2018,recap,Sun,2017,Seventysixers,Hornets,away,119-102,1&0,-3.0,220.5,17,14.0,0.5,7.2,-6.8,W,W,O,0
Apr","03,",2018,recap,Tue,2017,Seventysixers,Nets,home,121-95,1&1,-9.0,223.5,26,17.0,-7.5,4.8,-12.2,W,W,U,0
Apr","04,",2018,recap,Wed,2017,Seventysixers,Pistons,away,115-108,0&2,-2.5,215.0,7,4.5,8.0,6.2,1.8,W,W,O,0
Apr","06,",2018,recap,Fri,2017,Seventysixers,Cavaliers,home,132-130,1&0,-3.5,225.5,2,-1.5,36.5,17.5,19.0,W,L,O,0
Apr","08,",2018,recap,Sun,2017,Magic,Raptors,away,101-112,1&1,11.5,210.5,-11,0.5,2.5,1.5,1.0,L,W,O,"0
Apr","08,",2018,recap,Sun,2017,Seventysixers,Mavericks,home,109-97,1&1,-13.0,215.0,12,-1.0,-9.0,-5.0,-4.0,W,L,U,0
Apr","09,",2018,recap,Mon,2017,Magic,Bucks,away,86-102,0&1,11.5,208.5,-16,-4.5,-20.5,-12.5,-8.0,L,L,U,0
Apr","10,",2018,recap,Tue,2017,Seventysixers,Hawks,away,121-113,1&1,-9.5,220.0,8,-1.5,14.0,6.2,7.8,W,L,O,0
Apr","11,",2018,recap,Wed,2017,Pelicans,Spurs,home,122-98,1&1,-4.0,211.5,24,20.0,8.5,14.2,-5.8,W,W,O,0
Oct","27,",2018,recap,Sat,2018,Lakers,Spurs,away,106-110,1&2,0.0,230.0,-4,-4.0,-14.0,-9.0,-5.0,L,L,U,0
Nov","05,",2018,recap,Mon,2018,Raptors,Jazz,away,124-111,0&1,-1.0,217.0,13,12.0,18.0,15.0,3.0,W,W,O,"0
Nov","05,",2018,recap,Mon,2018,Warriors,Grizzlies,home,117-101,2&0,-14.5,218.5,16,1.5,-0.5,0.5,-1.0,W,W,U,0
Nov","08,",2018,recap,Thu,2018,Warriors,Bucks,home,111-134,2&1,-5.0,241.5,-23,-28.0,3.5,-12.2,15.8,L,L,O,0
Nov","14,",2018,recap,Wed,2018,Bucks,Grizzlies,home,113-116,2&1,-9.5,216.0,-3,-12.5,13.0,0.2,12.8,L,L,O,0
Nov","23,",2018,recap,Fri,2018,Nuggets,Magic,home,112-87,1&2,-8.5,210.5,25,16.5,-11.5,2.5,-14.0,W,W,U,0
Nov","24,",2018,recap,Sat,2018,Nuggets,Thunder,away,105-98,0&0,5.5,216.5,7,12.5,-13.5,-0.5,-13.0,W,W,U,0
Nov","26,",2018,recap,Mon,2018,Wizards,Rockets,home,135-131,1&1,0.0,224.0,4,4.0,42.0,23.0,19.0,W,W,O,1
Nov","28,",2018,recap,Wed,2018,Wizards,Pelicans,away,104-125,1&1,6.5,240.5,-21,-14.5,-11.5,-13.0,1.5,L,L,U,0
Dec","02,",2018,recap,Sun,2018,Seventysixers,Grizzlies,home,103-95,1&1,-7.5,212.0,8,0.5,-14.0,-6.8,-7.2,W,W,U,0
Dec","08,",2018,recap,Sat,2018,Celtics,Bulls,away,133-77,1&0,-8.0,214.0,56,48.0,-4.0,22.0,-26.0,W,W,U,0
Dec","10,",2018,recap,Mon,2018,Celtics,Pelicans,home,113-100,1&0,-7.5,222.5,13,5.5,-9.5,-2.0,-7.5,W,W,U,0
Dec","21,",2018,recap,Fri,2018,Timberwolves,Spurs,away,98-124,1&1,4.0,220.5,-26,-22.0,1.5,-10.2,11.8,L,L,O,0
Dec","25,",2018,recap,Tue,2018,Seventysixers,Celtics,away,114-121,2&1,5.0,224.0,-7,-2.0,11.0,4.5,6.5,L,L,O,1
Dec","26,",2018,recap,Wed,2018,Spurs,Nuggets,home,111-103,3&3,-4.0,214.5,8,4.0,-0.5,1.8,-2.2,W,W,U,0
Dec","28,",2018,recap,Fri,2018,Spurs,Nuggets,away,99-102,1&1,3.5,214.0,-3,0.5,-13.0,-6.2,-6.8,L,W,U,0
Dec","29,",2018,recap,Sat,2018,Warriors,Trailblazers,away,115-105,1&1,-5.0,223.5,10,5.0,-3.5,0.8,-4.2,W,W,U,0
Dec","31,",2018,recap,Mon,2018,Warriors,Suns,away,132-109,1&1,-10.5,231.0,23,12.5,10.0,11.2,-1.2,W,W,O,0
Jan","02,",2019,recap,Wed,2018,Timberwolves,Celtics,away,102-115,1&1,6.5,207.0,-13,-6.5,10.0,1.8,8.2,L,L,O,0
Jan","03,",2019,recap,Thu,2018,Warriors,Rockets,home,134-135,2&2,-8.0,225.5,-1,-9.0,43.5,17.2,26.2,L,L,O,1
Jan","05,",2019,recap,Sat,2018,Warriors,Kings,away,127-123,1&1,-7.5,238.5,4,-3.5,11.5,4.0,7.5,W,L,O,0
Jan","07,",2019,recap,Mon,2018,Bucks,Jazz,home,114-102,1&1,-5.5,221.5,12,6.5,-5.5,0.5,-6.0,W,W,U,0
Jan","08,",2019,recap,Tue,2018,Wizards,Seventysixers,away,115-132,1&2,9.0,228.0,-17,-8.0,19.0,5.5,13.5,L,L,O,"0
Jan","08,",2019,recap,Tue,2018,Warriors,Knicks,home,122-95,2&0,-18.0,230.0,27,9.0,-13.0,-2.0,-11.0,W,W,U,0
Jan","09,",2019,recap,Wed,2018,Celtics,Pacers,home,135-108,1&0,-7.0,216.0,27,20.0,27.0,23.5,3.5,W,W,O,"0
Jan","09,",2019,recap,Wed,2018,Bucks,Rockets,away,116-109,1&1,-1.5,225.5,7,5.5,-0.5,2.5,-3.0,W,W,U,0
Jan","10,",2019,recap,Thu,2018,Celtics,Heat,away,99-115,0&1,-1.5,212.5,-16,-17.5,1.5,-8.0,9.5,L,L,O,0
Jan","11,",2019,recap,Fri,2018,Warriors,Bulls,home,146-109,2&1,-16.5,219.5,37,20.5,35.5,28.0,7.5,W,W,O,0
Jan","13,",2019,recap,Sun,2018,Warriors,Mavericks,away,119-114,1&1,-5.5,229.0,5,-0.5,4.0,1.8,2.2,W,L,O,0
Jan","15,",2019,recap,Tue,2018,Warriors,Nuggets,away,142-111,1&1,-2.5,228.5,31,28.5,24.5,26.5,-2.0,W,W,O,0
Jan","16,",2019,recap,Wed,2018,Warriors,Pelicans,home,147-140,0&1,-7.0,241.5,7,0.0,45.5,22.8,22.8,W,P,O,0
Jan","17,",2019,recap,Thu,2018,Pacers,Seventysixers,home,96-120,1&1,-2.5,224.5,-24,-26.5,-8.5,-17.5,9.0,L,L,U,0
Jan","18,",2019,recap,Fri,2018,Warriors,Clippers,away,112-94,1&1,-7.0,241.5,18,11.0,-35.5,-12.2,-23.2,W,W,U,0
Jan","21,",2019,recap,Mon,2018,Warriors,Lakers,away,130-111,2&1,-12.5,235.0,19,6.5,6.0,6.2,-0.2,W,W,O,0
Jan","24,",2019,recap,Thu,2018,Warriors,Wizards,away,126-118,2&2,-9.0,235.0,8,-1.0,9.0,4.0,5.0,W,L,O,0
Jan","26,",2019,recap,Sat,2018,Warriors,Celtics,away,115-111,1&2,-3.5,229.5,4,0.5,-3.5,-1.5,-2.0,W,W,U,0
Jan","30,",2019,recap,Wed,2018,Wizards,Pacers,home,107-89,0&1,-1.0,217.0,18,17.0,-21.0,-2.0,-19.0,W,W,U,0
Feb","01,",2019,recap,Fri,2018,Thunder,Heat,away,118-102,2&1,-5.0,219.5,16,11.0,0.5,5.8,-5.2,W,W,O,0
Feb","02,",2019,recap,Sat,2018,Spurs,Pelicans,home,113-108,1&2,-10.5,229.5,5,-5.5,-8.5,-7.0,-1.5,W,L,U,0
Feb","04,",2019,recap,Mon,2018,Spurs,Kings,away,112-127,1&1,-1.5,229.5,-15,-16.5,9.5,-3.5,13.0,L,L,O,0
Feb","06,",2019,recap,Wed,2018,Nuggets,Nets,away,130-135,1&1,-2.0,227.0,-5,-7.0,38.0,15.5,22.5,L,L,O,0
Feb","07,",2019,recap,Thu,2018,Celtics,Lakers,home,128-129,1&1,-8.5,227.0,-1,-9.5,30.0,10.2,19.8,L,L,O,0
